"ca01","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns14","cns15","cns16","cns17","cns18","cns19","cns20"
56,0,0,0,18,0,10,2,0,0,0,0,0,0,0,22,0,113,25,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,0,19,0,0
58,0,0,0,0,0,0,117,0,0,2,0,9,0,0,7,0,34,8,0
51,0,0,0,0,0,0,43,0,0,10,11,0,0,0,0,0,75,3,0
49,7,0,0,0,6,0,10,0,0,7,0,4,0,0,67,0,32,5,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,405,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372
33,0,0,0,0,0,0,78,0,0,0,0,8,0,3,0,0,0,0,0
60,0,0,0,6,0,1,17,0,0,0,0,0,0,0,0,246,1,0,0
58,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,106,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
90,0,0,0,0,5,32,0,223,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,2,0,0,4,0,9,0,0,0,0,61,1,0
53,0,0,0,3,323,48,1,0,0,3,0,5,0,3,23,0,8,0,0
140,1,0,0,45,297,191,4,11,0,0,0,0,2,0,0,6,0,6,0
33,6,0,0,0,38,0,6,0,0,0,0,15,0,0,0,0,19,4,0
31,0,0,0,59,0,3,2,0,0,7,0,14,0,18,0,0,18,0,0
41,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,62,0,0
106,0,0,0,0,0,0,150,0,2,0,3,3,0,0,11,0,47,13,6
71,0,0,0,0,0,0,0,0,7,0,1,0,0,0,39,0,84,2,0
36,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,51,0,0
60,0,0,0,0,131,0,70,0,2,0,0,1,0,0,0,0,10,5,0
144,0,0,0,366,0,0,13,10,0,0,0,2,0,0,31,0,0,0,0
80,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
35,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,24,57,0,0,0,2,0,0,13,0,761,0,0,0,0,0
37,0,0,0,78,0,0,16,0,0,9,9,2,0,0,0,0,0,3,0
40,0,0,0,5,0,7,4,0,0,16,12,0,0,0,64,0,0,27,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,25,0
218,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1748,0,0,0,0
164,0,0,0,0,0,0,143,106,0,31,5,8,0,18,15,0,87,46,0
111,0,0,0,0,0,0,0,0,0,0,31,13,0,0,270,0,0,0,0
58,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,87,0,0
46,0,0,0,20,0,0,3,0,0,10,0,0,0,0,187,0,0,0,0
96,0,0,0,59,0,2,58,0,6,1,0,8,0,0,466,2,29,33,0
79,0,0,0,2,0,0,0,0,1,63,0,2,0,0,272,0,0,1,0
33,0,0,0,3,0,0,0,8,0,6,0,0,0,0,197,0,0,1,0
82,0,0,0,0,0,0,135,0,0,0,0,0,0,0,10,1,19,14,0
51,0,0,0,60,0,11,7,0,0,0,0,0,0,0,0,0,0,4,0
68,0,0,0,20,0,0,58,0,17,10,0,0,0,0,24,0,32,37,0
175,0,0,0,0,0,0,262,0,0,7,0,14,0,0,37,0,59,27,0
34,0,0,0,0,0,0,17,0,0,12,0,0,0,0,19,0,17,0,0
38,0,0,0,0,0,0,0,0,0,4,0,2,0,0,33,0,54,2,0
40,0,0,0,8,0,0,0,0,0,6,0,1,0,0,2,17,34,8,0
129,0,0,0,0,0,0,158,0,0,0,0,4,0,0,94,0,150,4,0
